  Elapsed time	Data
   (hr)	(psia)
  42.26252167 3471.64
  42.27918833 3473.69
  42.31668833 3471.65
  42.345855 3473.89
  42.36252167 3473.02
  42.36668833 3470.38
  42.445855 3473.79
  42.46668833 3475.88
  42.495855 3473.47
  42.545855 3473.77
  42.55002167 3475.86
  42.60002167 3472.49
  42.61668833 3475.08
  42.733355 3477.66
  42.82918833 3480.18
  42.87918833 3477.59
  42.883355 3475.53
  42.89168832999999 3475.4
  42.895855 3478.53
  42.90002167 3481.869999999999
  42.908355 3482.07
  42.91252166999999 3479.82
  42.91668833 3477.43
  42.96668833 3479.52
  43.133355 3481.57
  43.15002167 3479.12
  43.18335499999999 3481.300000000001
  43.31668832999999 3483.750000000001
  43.383355 3480.39
  43.40002167 3482.66
  43.46252167 3484.8
  43.51668833 3482.09
  43.53752167 3484.13
  43.67918833 3486.52
  43.83752167 3484.49
  43.85002166999999 3487.87
  43.895855 3488.39
  43.90002167 3490.49
  43.91668833 3487.58
  43.93335499999999 3490.22
  43.97502167 3489.96
  43.97918833 3487.85
  43.983355 3485.610000000001
  43.995855 3487.52
  44.00002167 3489.54
  44.15002167 3492.8
  44.25002167 3490.73
  44.333355 3493.15
  44.35002167 3495.2
  44.36668833 3491.89
  44.383355 3494.09
  44.41252166999999 3491.88
  44.45002167 3494.24
  44.50002167 3491.98
  44.51668833 3495.39
  44.545855 3493.3
  44.56252167 3493.62
  44.56668833 3495.79
  44.583355 3493.72
  44.60418833 3495.73
  44.70002167 3497.92
  44.833355 3495.32
  44.85002167 3498.65
  45.01668833 3500.68
  45.06668833 3498.5
  45.145855 3500.64
  45.345855 3503.29
  45.40002167 3501.25
  45.47918833 3504.02
  45.56252167 3505.73
  45.56668832999999 3507.82
  45.583355 3504.19
  45.633355 3502.17
  45.66252167 3504.49
  45.683355 3502.48
  45.745855 3505.25
  45.77918833 3507.510000000001
  45.820855 3505.5
  45.833355 3507.93
  45.983355 3510.3
  46.00002167 3508.05
  46.033355 3505.98
  46.10002166999999 3508.09
  46.17918833 3510.31
  46.46252167 3512.63
  46.51668833 3514.91
  46.56668833 3511.47
  46.583355 3513.71
  46.695855 3516.860000000001
  46.71252167 3516.58
  46.71668833 3514.43
  46.81252167 3516.71
  46.85002166999999 3514.5
  46.90002167 3517.05
  46.96668833 3514.93
  47.00002167 3517.83
  47.033355 3520.01
  47.06252167 3517.57
  47.11668833 3519.91
  47.17502166999999 3517.909999999999
  47.27918833 3520.21
  47.533355 3522.31
  47.77918833 3524.87
  47.86668833 3522.15
  47.883355 3525.15
  47.933355 3527.27
  47.95002167 3524.45
  47.96668833 3526.46
  47.983355 3523.6
  48.01668832999999 3526.02
  48.05418833 3528.03
  48.06668832999999 3525.02
  48.07918833 3526.91
  48.083355 3529.04
  48.11252166999999 3526.63
  48.21668833 3528.63
  48.28335499999999 3525.84
  48.30002166999999 3527.84
  48.35002166999999 3530.3
  48.56668832999999 3528.06
  48.57918832999999 3530.07
  48.695855 3532.08
  48.733355 3529.75
  48.76252166999999 3532.19
  48.770855 3534.21
  49.15002167 3536.64
  49.25002167 3533.5
  49.27918833 3536.01
  49.31668832999999 3539.28
  49.333355 3535.74
  49.41668833 3537.76
  49.43335499999999 3541.22
  49.46252166999999 3539.11
  49.483355 3536.9
  49.50002167 3539.6
  49.55002167 3536.82
  49.56668832999999 3539.49
  49.71252167 3540.26
  49.71668833 3542.35
  49.75002167 3539.35
  49.86668833 3537.01
  49.895855 3540.12
  49.93335499999999 3542.32
  50.00002167 3545.15
  50.07918832999999 3542.79
  50.11668833 3545.3
  50.18335499999999 3543.19
  50.21252166999999 3545.19
  50.26668832999999 3542.09
  50.295855 3544.53
  50.35002167 3546.64
  50.36252166999999 3544.74
  50.36668833 3542.69
  50.38752167 3544.74
  50.49585499999999 3546.29
  50.50002167 3548.44
  50.51668833 3545.63
  50.645855 3547.06
  50.65002167 3549.12
  50.67918833 3546.35
  50.795855 3549.030000000001
  50.85002166999999 3546.500000000001
  50.86668833 3549.49
  50.92918833 3547.22
  50.95835499999999 3546.18
  50.96252166999999 3550.14
  50.96668833 3554.09
  50.97502166999999 3554.08
  50.97918833 3551.36
  50.983355 3548.65
  51.02918833 3550.78
  51.05002167 3547.9
  51.06668832999999 3550.69
  51.295855 3553.35
  51.31252167 3551.4
  51.31668833 3548.42
  51.32502167 3548.43
  51.32918832999999 3551.79
  51.33335499999999 3555.13
  51.35002166999999 3551.34
  51.36668833 3554.08
  51.49585499999999 3551.78
  51.533355 3554.199999999999
  51.633355 3551
  51.66252167 3554.01
  51.70002167 3556.25
  51.71668833 3553.37
  51.72502166999999 3553.29
  51.72918833 3555.64
  51.733355 3558.14
  51.76252166999999 3556.06
  51.78752166999999 3558.11
  51.79168832999999 3558.11
  51.795855 3555.6
  51.80002167 3552.93
  51.833355 3555.89
  51.89585499999999 3557.95
  51.91668833 3555.08
  51.933355 3558.150000000001
  51.95002166999999 3554.91
  51.96668833 3558.21
  52.20002167 3561.26
  52.208355 3561.24
  52.21252167 3558.7
  52.21668832999999 3556.18
  52.22502167 3556.19
  52.22918833 3558.55
  52.233355 3560.89
  52.333355 3557.84
  52.34168833 3557.86
  52.345855 3559.97
  52.35002166999999 3562.07
  52.483355 3558.7
  52.51252166999999 3560.97
  52.55002167 3563.610000000001
  52.65002166999999 3561.15
  52.70002166999999 3563.85
  52.71668833 3561.29
  52.74585499999999 3564.27
  52.78335499999999 3561.96
  52.86252166999999 3564.36
  53.05002166999999 3567
  53.10002166999999 3563.94
  53.11668833 3566.84
  53.31668832999999 3569.62
  53.37918833 3567.61
  53.41252166999999 3569.76
  53.483355 3567.4
  53.52918832999999 3570.3
  53.55002166999999 3567.38
  53.55835499999999 3567.38
  53.56252167 3569.46
  53.56668833 3571.55
  53.57502167 3571.54
  53.57918832999999 3569.08
  53.58335499999999 3566.63
  53.59168833 3566.6
  53.595855 3568.78
  53.60002166999999 3570.96
  53.71668832999999 3573.2
  53.72502167 3573.2
  53.72918833 3571.15
  53.733355 3569.090000000001
  53.75002167 3572.17
  53.783355 3570.030000000001
  53.80002166999999 3572.87
  53.81252167 3570.99
  53.81668832999999 3568.84
  53.833355 3572.51
  53.93335499999999 3570.34
  53.97502166999999 3570.74
  53.97918833 3573.57
  53.983355 3576.41
  54.00002167 3573.63
  54.083355 3575.77
  54.10002167 3573.22
  54.15002166999999 3575.82
  54.195855 3573.71
  54.26668833 3575.77
  54.35002166999999 3573.26
  54.395855 3576.42
  54.41252166999999 3575.7
  54.41668832999999 3573.3
  54.45002167 3575.81
  54.51252167 3578
  54.55002166999999 3575.050000000001
  54.56668832999999 3577.17
  54.76668832999999 3579.24
  54.933355 3581.27
  54.94168832999999 3581.27
  54.945855 3578.68
  54.95002166999999 3576.09
  54.97918832999999 3578.45
  55.05002166999999 3580.62
  55.25002167 3582.750000000001
  55.333355 3580.01
  55.35002166999999 3582.16
  55.383355 3584.66
  55.483355 3582.52
  55.64585499999999 3584.69
  55.66668833 3586.96
  55.70002166999999 3584.78
  55.733355 3587.43
  55.75002167 3585.03
  55.83335499999999 3587.56
  55.883355 3584.989999999999
  55.96252167 3587.39
  56.11252167 3587.96
  56.11668833 3590.47
  56.133355 3588.01
  56.233355 3590.27
  56.46668833 3588.17
  56.47502166999999 3588.17
  56.47918832999999 3590.699999999999
  56.483355 3593.4
  56.51668833 3591.19
  56.61668833 3588.8
  56.62918832999999 3590.65
  56.633355 3592.69
  56.695855 3590.41
  56.71668832999999 3592.92
  56.76668832999999 3590.54
  56.783355 3592.61
  56.87918832999999 3593.08
  56.883355 3595.23
  56.90002167 3592.04
  56.91668833 3595.25
  56.93335499999999 3597.74
  56.95002167 3595.67
  57.06668832999999 3597.79
  57.11668833 3595.73
  57.22918832999999 3598.33
  57.26668833 3594.860000000001
  57.27918832999999 3596.78
  57.28335499999999 3598.980000000001
  57.30002166999999 3596.88
  57.36252166999999 3595.85
  57.36668833 3599.41
  57.383355 3596.74
  57.45002167 3598.79
  57.52085499999999 3596.77
  57.60002166999999 3599.14
  57.65002167 3595.85
  57.66668833 3599.46
  57.783355 3602.86
  57.86668833 3600.66
  57.90002166999999 3602.91
  57.933355 3600.14
  57.95002166999999 3602.56
  58.11668833 3600.14
  58.15002167 3603.04
  58.16668832999999 3600.94
  58.195855 3603.28
  58.25002167 3605.590000000001
  58.283355 3601.86
  58.383355 3604.45
  58.52918833 3606.92
  58.55002167 3604.15
  58.60002167 3607.13
  58.61668833 3604.23
  58.65002166999999 3606.58
  58.695855 3608.61
  58.72918832999999 3606.59
  58.82918832999999 3609.95
  58.86668833 3607.55
  58.90002167 3605.31
  58.91668832999999 3609.01
  59.033355 3611.4
  59.06668832999999 3609.19
  59.11668833 3612.25
  59.133355 3609.59
  59.18335499999999 3611.69
