          Elapsed time          Liquid rate
                 (hr)              (STB/D)
  183.3500511112798 -20299.94488833498
  183.4333844446228 -19958.94058420532
  183.5167177778785 -19783.68828781098
  183.6000511112216 -19702.72957444613
  183.6833844445646 -19686.28667223131
  183.7667177779076 -19667.97591394494
  184.0167177779367 -19654.78227901262
  185.2667177779076 -19644.76508942436
  187.2250511112507 -19635.43999603397
  188.5167177779367 -19624.94373999752
  189.1417177779658 -19614.89011208789
  189.6000511113089 -19603.34733149964
  189.8917177778785 -19591.84617358753
  190.0167177778494 -19585.52710494541
  190.1000511112798 -19694.41924690343
  190.1833844446228 -20071.23284713499
  190.2667177778785 -20244.33430632191
  190.3500511112216 -20370.07304192964
  190.4333844445646 -20437.23928264228
  190.5167177779076 -20102.57084547886
  190.6000511112507 -19862.20081835944
  190.6833844445064 -19730.41585854215
  190.7667177778494 -19655.57743359817
  190.8917177779076 -19609.47480623095
  191.0167177778785 -19592.61479479491
  191.1000511112216 -19965.55530759769
  191.1833844445646 -20212.38989399356
  191.2667177779076 -20346.94121633599
  191.3194375773892 -20417.25702729188
  191.361104244017 -20435.9100671791
  191.4333844445064 -20216.7592872142
  191.5167177778494 -19918.48328546675
  191.6000511112798 -19755.51487008739
  191.6833844446228 -19663.75084121953
  191.7667177778785 -19608.26639072531
  191.8500511112216 -19599.95155425857
  191.9333844445646 -19876.50699773797
  192.0167177779076 -20158.00800585011
  192.1000511112507 -20311.09718133814
  192.1833844445064 -20395.7113361348
  192.2667177778494 -20438.68877502309
  192.3500511112798 -20048.94063457939
  192.4333844446228 -19820.09596841365
  192.5167177778785 -19693.90523418138
  192.6000511112216 -19623.82126686069
  192.6833844445646 -19584.03642102696
  192.7667177779076 -19848.48085631203
  192.8500511112507 -20134.98598580506
  192.9333844445064 -20288.38730590837
  193.0167177778494 -20366.22651449672
  193.1000511112798 -20399.70138724384
  193.1833844446228 -20144.45627968544
  193.2667177778785 -19876.45365426884
  193.3500511112216 -19734.88112776314
  193.4333844445646 -19666.76548127203
  193.5167177779076 -19608.94448958783
  193.6000511112507 -19705.36846630224
  193.6833844445064 -20055.51134962066
  193.7667177778494 -20214.9708792453
  193.8500511112798 -20326.01144698213
  193.9333844446228 -20365.58011207372
  194.0167177778785 -20400.50350784245
  194.1000511112216 -20160.77924023466
  194.1833844445646 -19883.84314466062
  194.2667177779076 -19743.33488329618
  194.3500511112507 -19645.60785730003
  194.4333844445064 -19592.35128512077
